,EXP_DATE,EFF_DATE,CORP_NAME,TRADE_NAME,LICENSEE,TAXKEY_NUMBER,HOUSE_NR,SDIR,STREET,STTYPE,ALDERMANIC_DISTRICT,POLICE_DISTRICT,LIC_TYPE,License Type Full Name,TOT_CAP,ROOM_CAP,TAXKEY,CITY,LAT,LON
11,2/9/2020,4/17/2019,STILL ON 12TH ST II,STILL ON 12TH ST II,"JUANITA L SHAW, SP",,1871,N,12TH,ST,15.0,3.0,BTAVN,Class B Tavern License,65.0,,3520764100,"Milwaukee, WI",43.055145695791,-87.9271387834159
12,4/17/2020,4/16/2019,BIG LARRY'S,BIG LARRY'S,"BRADFORD J ALLEN, SP",,2378,N,12TH,ST,15.0,3.0,BTAVN,Class B Tavern License,25.0,,3231345000,"Milwaukee, WI",43.0617476320309,-87.9267647052244
13,11/4/2020,11/7/2019,CHERRY'S PLACE,CHERRY'S PLACE,"CHERRY G GREGORY, SP",3231170000.0,2401,N,12TH,ST,15.0,3.0,BTAVN,Class B Tavern License,80.0,,3231170000,"Milwaukee, WI",43.062315,-87.926979
14,4/6/2020,3/26/2019,"B & S FOOD MARKET, INC",B & S FOOD MARKET,"MILOUD A ELWERFALLI, Agt",,3299,N,12TH,ST,6.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2830463000,"Milwaukee, WI",43.078816,-87.926245
15,5/12/2020,5/13/2019,"Wisconsin Liquor & Food, Inc",ABC Beer & Liquor Depot II,"NAVDIP KAUR, Agt",3520777100.0,1819,N,12th,ST,15.0,3.0,ALQML,Class A Malt & Class A Liquor License,,,3520777100,"Milwaukee, WI",43.0543280431839,-87.9271578340358
16,4/29/2020,4/16/2019,North Side Meat Mart LLC,North Side Meat Mart,"Faiz N Mavrkis, Agt",3123322000.0,3004,N,12th,ST,6.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3123322000,"Milwaukee, WI",43.073305102526,-87.9266079259145
17,9/24/2020,9/25/2019,MARQUETTE UNIVERSITY,Marquette University/Eckstein/Haggerty Art Museum,"Neal J Wucherer, Agt",3980011111.0,530,N,13TH,ST,4.0,3.0,BTAVN,Class B Tavern License,,,3980011111,"Milwaukee, WI",43.0356738,-87.9282446
18,7/5/2020,6/20/2019,EL ESCONDITE,EL ESCONDITE,"SONIA M FANTAUZZI, SP",3510517000.0,1832,S,13TH,ST,12.0,2.0,BTAVN,Class B Tavern License,80.0,,4610636100,"Milwaukee, WI",43.0106767186485,-87.9280466165261
19,9/21/2020,9/10/2019,"SHORTY'S CATERING, INC",SHORTY'S CATERING & RESTAURANT,"ELISA MALDONADO, Agt",,2075,S,13TH,ST,12.0,2.0,BTAVN,Class B Tavern License,156.0,"Restaurant = 49, Hall = 107",4600159000,"Milwaukee, WI",43.0069781663694,-87.9284171373562
20,11/28/2020,11/15/2019,GP Food Market LLC,Los Amigos,"KARAMVIR K DHALIWAL, Agt",4680201000.0,2100,S,13TH,ST,12.0,2.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4680201000,"Milwaukee, WI",43.006339,-87.928219
21,11/28/2019,11/5/2018,GP Food Market LLC,Los Amigos,"KARAMVIR K DHALIWAL, Agt",4680201000.0,2100,S,13TH,ST,12.0,2.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4680201000,"Milwaukee, WI",43.006339,-87.928219
22,4/20/2020,4/23/2019,"El Sunami II, LLC",Sunami,"Ociel Escobar Luvianos, Agt",4681712000.0,2222,S,13TH,ST,12.0,2.0,BTAVN,Class B Tavern License,49.0,,4681712000,"Milwaukee, WI",43.00418662499,-87.9283039645525
23,6/13/2020,5/29/2019,Channa Sales Inc,Arthur Mini Mart,"Baljeet S Channa, Agt",4970768000.0,2500,S,13TH,ST,12.0,2.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4970768000,"Milwaukee, WI",42.999067,-87.928438
24,6/14/2020,5/29/2019,"BOB-E-LANES, INC",BOB-E-LANES,"JAMES R RYDZEWSKI, Agt",,2932,S,13TH,ST,14.0,6.0,BTAVN,Class B Tavern License,51.0,,5071028000,"Milwaukee, WI",42.9912962726896,-87.9286145114379
25,4/15/2020,7/30/2019,Karina's Pizza LLC,Karina's Pizza,"Gabriela Zapot Mendoza, Agt",5071025000.0,2952,S,13TH,ST,14.0,6.0,BTAVN,Class B Tavern License,28.0,,5071025000,"Milwaukee, WI",42.9909777029981,-87.9286221453659
26,6/9/2020,5/29/2019,MONTE ENTERPRISES LLC,MONTERREY MARKET,"ROBERTO MONTEMAYOR, Agt",,3014,S,13TH,ST,14.0,6.0,ALQML,Class A Malt & Class A Liquor License,,,5071232000,"Milwaukee, WI",42.9897674105527,-87.9286506303102
27,6/23/2020,5/29/2019,"JOBIN, INC",B & B TAP,"PATRICIA L WESTPHAL, Agt",,3021,S,13TH,ST,14.0,6.0,BTAVN,Class B Tavern License,49.0,,5080105110,"Milwaukee, WI",42.9896715916899,-87.9288768516736
28,9/20/2020,8/26/2019,BUCKSHOTS BAR LLC,BUCKSHOTS BAR,"DAVID NUNEZ-CRUZ, Agt",2841108000.0,3219,S,13TH,ST,14.0,6.0,BTAVN,Class B Tavern License,25.0,,5350892100,"Milwaukee, WI",42.9955556,-87.9286209
29,7/13/2020,6/18/2019,El Tucanazo Taqueria Y Mariscos Corp,El Tucanazo Taqueria Y Mariscos,"FRANCISCO J GONZALEZ, Agt",5350886000.0,3261,S,13TH,ST,14.0,6.0,BTAVN,Class B Tavern License,65.0,,5350886000,"Milwaukee, WI",42.9955556,-87.9286209
30,11/6/2020,10/15/2019,LAYTON HEIGHTS PUB & GRILL,LAYTON HEIGHTS PUB & GRILL,"BRYON J PUZIA, SP",5970652000.0,4553,S,13TH,ST,13.0,6.0,BTAVN,Class B Tavern License,94.0,,5970652000,"Milwaukee, WI",42.9955556,-87.9286209
31,3/20/2020,2/28/2019,Hank's Tavern,Hank's Tavern,"GILBERT L KACZMAREK, Agt",6429988110.0,5216,S,13TH,ST,13.0,6.0,BTAVN,Class B Tavern License,25.0,,6429988110,"Milwaukee, WI",42.9955556,-87.9286209
32,3/1/2020,2/5/2019,"CORNE'S COACH'S, LLC",COACH'S PUB & GRILL,"CORNE M HANSSEN, Agt",6429976110.0,5356,S,13TH,ST,13.0,6.0,BTAVN,Class B Tavern License,63.0,,6429976110,"Milwaukee, WI",42.9955556,-87.9286209
33,6/30/2020,7/9/2019,MILW LODGE 49 LOYAL ORDER OF MOOSE,MILW LODGE 49 LOYAL ORDER OF MOOSE,"MICHAEL K PETRI, Agt",6420781000.0,5476,S,13TH,ST,13.0,6.0,BTAVN,Class B Tavern License,600.0,,6420781000,"Milwaukee, WI",42.9955556,-87.9286209
34,9/3/2020,8/5/2019,"AMANA HOSPITALITY, LLC",Crowne Plaza Milwaukee Airport,"Mathew W Meadows, Agt",7169997100.0,6401,S,13TH,ST,13.0,6.0,BTAVN,Class B Tavern License,2480.0,,7160441000,"Milwaukee, WI",42.92787395,-87.9324463494737
35,12/14/2019,11/27/2018,La Borincana Restaurant Inc,La Borincana Restaurant,"Santa I Fret, Agt",4610639000.0,1820,S,13th,ST,12.0,2.0,BTAVN,Class B Tavern License,49.0,,4610639000,"Milwaukee, WI",43.010749578871,-87.9280438752504
36,2/29/2020,2/26/2019,El Pacifico Nightclub LLC,El Pacifico Nightclub,"JUAN P SALAS, Agt",4680453000.0,2000,S,13th,ST,12.0,2.0,BTAVN,Class B Tavern License,160.0,,4680453000,"Milwaukee, WI",43.008167,-87.928146
37,1/16/2020,12/18/2018,"Mi Super Foods, & Liquor Inc",Mi Super Foods & Liquor,"Gurinder S Nagra, Agt",4681711000.0,2200,S,13th,ST,12.0,2.0,ALQML,Class A Malt & Class A Liquor License,,,4681711000,"Milwaukee, WI",43.00437485,-87.9280754458592
38,7/23/2020,9/24/2019,Taqueria La Sierrita LLC,Taqueria La Sierrita,"Miguel Leon Santos, Agt",4961416100.0,2689,S,13th,ST,12.0,2.0,BTAVN,Class B Tavern License,64.0,,4961416100,"Milwaukee, WI",42.9958588547115,-87.9287310238602
39,11/1/2020,10/15/2019,Singh's Corner Grocery Inc,South Star Food,"BALJINDER SINGH, Agt",5071361000.0,2714,S,13th,ST,14.0,2.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,5071361000,"Milwaukee, WI",42.9952378480562,-87.9285210522547
40,6/30/2020,6/18/2019,Nick's Anvil Inn,Nick's Anvil Inn,"Nancy J Tribbey, SP",5071035000.0,2900,S,13th,ST,14.0,6.0,BTAVN,Class B Tavern License,25.0,,5071035000,"Milwaukee, WI",42.991806,-87.928603
41,10/15/2020,9/24/2019,"IGG, LLC",Mi Tierra Food Mart,"Parminder S Ghotra, Agt",5080401100.0,2901,S,13th,ST,14.0,6.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,5080401100,"Milwaukee, WI",42.991809,-87.928827
42,3/1/2020,2/5/2019,"Gurmehar, LLC",Best Foods,"Kanwal B Singh, Agt",5359974000.0,3405,S,13th,ST,14.0,6.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,5359974000,"Milwaukee, WI",42.9955556,-87.9286209
43,5/29/2020,5/15/2019,Emerald City Enterprises LLC,Emerald City Catering and Events,"Steve T Ozbolt, Agt",5519948000.0,3555,S,13th,ST,13.0,6.0,BTAVN,Class B Tavern License,,,5519948000,"Milwaukee, WI",42.9955556,-87.9286209
44,6/3/2020,5/29/2019,13th Pour LLC,13th Pour,"ERIC B SCHNEEBERG, Agt",5519840000.0,3675,S,13th,ST,13.0,6.0,BTAVN,Class B Tavern License,89.0,,5519840000,"Milwaukee, WI",42.9955556,-87.9286209
45,3/29/2020,11/7/2019,AGP MKE 6331 Milwaukee LLC,Radisson Hotel Milwaukee Airport,"John C Totin, Agt",7169999110.0,6331,S,13th,ST,13.0,6.0,BTAVN,Class B Tavern License,,,7169999110,"Milwaukee, WI",42.9292686,-87.9313491495535
46,10/17/2020,10/29/2019,MALLETT'S FOODS,MALLETT'S FOODS,"JOE F MALLETT, SP",2842014000.0,3501,N,14TH,ST,6.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2842014000,"Milwaukee, WI",43.08182,-87.928654
47,6/11/2020,5/29/2019,"Bungalow Restaurant, LLC",Henry and Bobbie's Bungalow,"Demetrius T Jones, Agt",2842168000.0,3466,N,14th,ST,6.0,5.0,BTAVN,Class B Tavern License,,,2842168000,"Milwaukee, WI",43.0811683726745,-87.9284435452622
48,12/17/2019,11/27/2018,JJ STRIPES,JJ STRIPES,"JAMES J DORANGRICHIA, SR, SP",5350601000.0,3101,S,15TH,PL,13.0,6.0,BTAVN,Class B Tavern License,55.0,,5350601000,"Milwaukee, WI",42.988195,-87.932803
49,12/16/2019,3/28/2019,"SHANAA GROCERY, INC",MR F FOODS,"BASSEL S HAMZA, Agt",2840747000.0,3246,N,15TH,ST,6.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2840747000,"Milwaukee, WI",43.0777533370659,-87.9297508598982
50,12/13/2019,12/14/2018,TOSADO LLC,Don Pedro's,"JASMYN M TOSADO, Agt",4690679000.0,1979,S,15TH,ST,12.0,2.0,BTAVN,Class B Tavern License,,,4690679000,"Milwaukee, WI",43.0087851563899,-87.9310638578596
51,2/7/2020,1/14/2019,"CAMPUS ENTERTAINMENT, INC",CAFFREY'S PUB,"MICHAEL J VITUCCI, Agt",,717,N,16TH,ST,4.0,3.0,BTAVN,Class B Tavern License,295.0,80,3632700100,"Milwaukee, WI",43.0390086454295,-87.9330666743437
52,6/18/2020,6/4/2019,MARQUETTE UNIVERSITY,MARQUETTE / UNION SPORTS ANNEX,"Neal J Wucherer, Agt",,804,N,16TH,ST,4.0,3.0,BTAVN,Class B Tavern License,700.0,,3901190000,"Milwaukee, WI",43.0403823878936,-87.9328257650285
53,12/20/2019,11/27/2018,GARY J'S PUB,GARY J'S PUB,"GARY M JASICKI, SP",5350901110.0,3303,S,16TH,ST,13.0,6.0,BTAVN,Class B Tavern License,25.0,,5350901110,"Milwaukee, WI",42.9845827948451,-87.9339646653958
54,5/23/2020,10/15/2019,"Magic Holdings, LLC",Magic Foods,"Balkar Singh, Agt",3112059000.0,2879,N,16th,ST,15.0,5.0,ALQML,Class A Malt & Class A Liquor License,,,3112059000,"Milwaukee, WI",43.0709390067223,-87.9333171058979
55,8/1/2020,7/9/2019,Sendik's MU LLC,Sendik's Food Markets,"Theodore Balistreri, Agt",3901190000.0,824,N,16th,ST,4.0,3.0,ALQML,Class A Malt & Class A Liquor License,,,3901190000,"Milwaukee, WI",43.0404693273615,-87.9328245901708
56,5/15/2020,4/16/2019,ROMANS FOODS,ROMANS FOODS,"NEDAL K ASSAD, SP",3241586000.0,2441,S,18TH,ST,12.0,2.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4960334000,"Milwaukee, WI",43.0003705590186,-87.9357093928088
57,6/30/2020,6/18/2019,Colbert's Beer & Liquor,Colbert's Beer & Liquor,"WILLIE G COLBERT, SP",2320009000.0,4770,N,18th,ST,1.0,7.0,ALQML,Class A Malt & Class A Liquor License,,,2320009000,"Milwaukee, WI",43.1036935028857,-87.9328565877854
58,5/31/2020,5/7/2019,El Taco Riendo LLC,The Laughing Taco,"Lucia L Munoz, Agt",4311321000.0,1031,S,1ST,ST,12.0,2.0,BTAVN,Class B Tavern License,,,4311321000,"Milwaukee, WI",43.020765671361,-87.9113545076099
59,10/23/2020,10/18/2019,Don's Deli LLC,Don's Diner,"Aaron R Gersonde, Agt",4310261000.0,1100,S,1ST,ST,12.0,2.0,BTAVN,Class B Tavern License,,,4310261000,"Milwaukee, WI",43.019982,-87.911134
60,7/18/2020,7/9/2019,Fiesta 1407 LLC,Fiesta Cafe,"Rosa Isela Real Perez, Agt",4620331100.0,1407,S,1ST,ST,12.0,2.0,BTAVN,Class B Tavern License,99.0,,4620331100,"Milwaukee, WI",43.0168804699277,-87.9113372103818
61,6/5/2020,5/29/2019,"MC ZAR'S, LLC",O'Lydia's Bar & Grill,"Linda M Sackett, Agt",,338,S,1ST,ST,12.0,1.0,BTAVN,Class B Tavern License,150.0,,4280504000,"Milwaukee, WI",43.02747315,-87.9107476452809
62,1/16/2020,12/21/2018,"COMPROV, INC",COMEDY SPORTZ,"JOSHUA M LEFEVRE, Agt",4280581000.0,420,S,1ST,ST,12.0,2.0,BTAVN,Class B Tavern License,320.0,,4280581100,"Milwaukee, WI",43.0270677519677,-87.9109192219236
63,10/22/2020,10/22/2019,THE TRIPLE BELT CORPORATION,D.I.X.,"ELIZABETH J KUJAWA, Agt",,739,S,1ST,ST,12.0,2.0,BTAVN,Class B Tavern License,180.0,,4311119000,"Milwaukee, WI",43.02339145,-87.9114793752713
64,3/19/2020,4/10/2019,"LE CABARET, INC",Texas J's,"JOHN A URBAN, Agt",,813,S,1ST,ST,12.0,2.0,BTAVN,Class B Tavern License,360.0,,4310605110,"Milwaukee, WI",43.0229855495524,-87.911342049764
65,8/7/2020,8/6/2019,Werk Investments LLC,Points View Boite,"Marcos A Ramos-Garcia, Agt",4620035000.0,1619,S,1st,ST,12.0,2.0,BTAVN,Class B Tavern License,,,4620035000,"Milwaukee, WI",43.0137809924989,-87.9112901317072
66,3/31/2020,3/26/2019,SBB of Milwaukee Inc.,Stack'D Burger Bar,"TREVOR M DANIELSEN, Agt",4280973000.0,170,S,1st,ST,12.0,1.0,BTAVN,Class B Tavern License,,,4280973000,"Milwaukee, WI",43.0297145,-87.9105750744935
67,2/9/2020,1/14/2019,Bhatia Corp,Fine Vineyard,"VARINDER P BHATIA, Agt",4281011000.0,601,S,1st,ST,12.0,2.0,ALQML,Class A Malt & Class A Liquor License,,,4281011000,"Milwaukee, WI",43.025154,-87.911192
68,9/23/2020,8/27/2019,The Flow DJ's Entertainment LLC,VIP Lounge,"Miguel A Martinez, Agt",4310991110.0,828,S,1st,ST,12.0,2.0,BTAVN,Class B Tavern License,295.0,,4310991110,"Milwaukee, WI",43.0228532877545,-87.9111186795821
69,12/13/2019,12/14/2018,Champion Property MGMT LLC,Freight 38,"ADAM L SMITH, Agt",4310993000.0,838,S,1st,ST,12.0,2.0,BTAVN,Class B Tavern License,80.0,,4311311000,"Milwaukee, WI",43.0227712459666,-87.9111190702573
70,6/30/2020,6/18/2019,"FRITZ'S PUB, INC",FRITZ'S PUB,"STEPHEN J DJURIC, Agt",5089979000.0,3086,S,20TH,ST,13.0,6.0,BTAVN,Class B Tavern License,130.0,,5089979000,"Milwaukee, WI",42.9886848202247,-87.9383883707865
71,11/29/2019,11/30/2018,Rose's Place,Rose's Place,"PATRICIA A PICKENS, SP",3111780000.0,2878,N,20th,ST,15.0,5.0,BTAVN,Class B Tavern License,80.0,,3111780000,"Milwaukee, WI",43.0709928205363,-87.9373191665483
72,9/13/2020,9/4/2019,"Wisconsin Hispanic Scholarship Foundation, Inc.",Mexican Fiesta,"Ruben A Burgos, Agt",5090022000.0,2997,S,20th,ST,13.0,6.0,BTAVN,Class B Tavern License,420.0,,5090022000,"Milwaukee, WI",42.9899474827586,-87.938592137931
73,10/14/2020,10/16/2019,"J B Beer & Liquor, Inc",Wilson Park Beverage Mart,"BALJIT SINGH, Agt",5529953100.0,3511,S,20th,ST,13.0,6.0,ALQML,Class A Malt & Class A Liquor License,,,5529953100,"Milwaukee, WI",42.9774849,-87.9388144
74,1/17/2020,12/18/2018,"PJS SUPERMARKET, LLC",PJS SUPERMARKET,"INDERJIT KAUR, Agt",3100823000.0,3079,N,21ST,ST,7.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3100823000,"Milwaukee, WI",43.074661832769,-87.9387347809758
75,7/13/2020,7/9/2019,Lucky Sam Food Mart Inc,Lucky Sam Food Mart,"Sukhdev Singh, Agt",3250492100.0,2401,N,21st,ST,15.0,3.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3250492100,"Milwaukee, WI",43.062447,-87.93892
76,5/19/2020,5/20/2019,"R K A, LLC",ABC STORE,"RAEID K ASSAD, Agt",,1143,S,22ND,ST,8.0,2.0,ALQML,Class A Malt & Class A Liquor License,,,4340290000,"Milwaukee, WI",43.0196921919192,-87.9409784141414
77,4/11/2020,6/10/2019,"FAITH GROCERIES, INC",FAITH GROCERIES,"HARJINDER KHASRIA, Agt",,3451,N,23RD,ST,6.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2851322000,"Milwaukee, WI",43.081818735216,-87.9411610691101
78,1/21/2020,1/15/2019,"TEDDY'S INCOME, INC",SHARI'S STILL,"SHERYL L LARSON, Agt",,1834,S,23RD,ST,8.0,2.0,BTAVN,Class B Tavern License,49.0,,4590578000,"Milwaukee, WI",43.0109040620614,-87.9422108700802
79,7/30/2020,7/9/2019,"Locust Enterprises, LLC",SaveMore Foods,"YUSSEF K IZHIMAN, Agt",3101386110.0,2900,N,24th,ST,7.0,,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3101386110,"Milwaukee, WI",43.071619,-87.94228
80,12/18/2019,10/22/2018,"NEA, LLC",TIME FOOD MART,"NEDAL K ASSAD, Agt",3503942000.0,1835,S,25TH,ST,8.0,2.0,ALQML,Class A Malt & Class A Liquor License,,,4590751000,"Milwaukee, WI",43.0109474086736,-87.9452148538072
81,5/6/2020,5/7/2019,"Farida, LLC",South Ave Foods,"Thaher M Qatoum, Agt",4702039000.0,2108,S,25TH,ST,8.0,2.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4702039000,"Milwaukee, WI",43.0064661785722,-87.9450645969599
82,11/3/2020,10/15/2019,ANGEL FOOD MARKET,ANGEL FOOD MARKET,"CHIDI P ONUKWUGHA, Agt",2700241000.0,3700,N,26TH,ST,7.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2700241000,"Milwaukee, WI",43.084846,-87.94574
83,9/26/2020,9/4/2019,"COMMUNITY FOODS, INC",COMMUNITY FOODS,"AMER K SARSOUR, Agt",3101807000.0,2800,N,27TH,ST,15.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3101807000,"Milwaukee, WI",43.069849,-87.947251
84,7/30/2020,7/9/2019,"GOLDEN NORTHTOWN FOODS, INC",GOLDEN NORTHTOWN FOOD,"NIRMAL SINGH, Agt",2310097000.0,4402,N,27TH,ST,1.0,5.0,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2310097000,"Milwaukee, WI",43.0977628179602,-87.9466996937187
85,1/18/2020,1/18/2019,HENRY'S LOUNGE,HENRY'S LOUNGE,"HENRY L WINCE, SP",,4411,N,27TH,ST,1.0,5.0,BTAVN,Class B Tavern License,80.0,,2300670000,"Milwaukee, WI",43.0978568726465,-87.9469226917707
86,6/30/2020,6/18/2019,GARE-BEAR'S,GARE-BEAR'S,"GARY L LIESKE, SP",,927,N,27TH,ST,4.0,3.0,BTAVN,Class B Tavern License,70.0,,3881203000,"Milwaukee, WI",43.0428982727266,-87.947584181577
87,3/20/2020,3/5/2019,"CHIPOTLE MEXICAN GRILL OF CO, LLC",CHIPOTLE MEXICAN GRILL #441,"Brian J Bushaw, Agt",5340645111.0,3232,S,27TH,ST,13.0,6.0,BTAVN,Class B Tavern License,97.0,,5340645111,"Milwaukee, WI",42.9860673265306,-87.9480794081633
88,6/19/2020,5/7/2019,"DUAL FOOD SYSTEMS, INC",NED'S PIZZA SOUTH,"SCOTT O STOLZ, Agt",5340650000.0,3246,S,27TH,ST,13.0,6.0,CWINE,Class C Wine Retailer's License,40.0,,5340650000,"Milwaukee, WI",42.9858574693878,-87.9480778367347
89,6/19/2020,5/7/2019,"DUAL FOOD SYSTEMS, INC",NED'S PIZZA SOUTH,"SCOTT O STOLZ, Agt",5340650000.0,3246,S,27TH,ST,13.0,6.0,BBEER,Class B Fermented Malt Beverage Retailer's License,40.0,,5340650000,"Milwaukee, WI",42.9858574693878,-87.9480778367347
90,1/19/2020,12/20/2018,"GURU BEER & LIQUOR, LLC",GURU BEER & LIQUOR,"Iqbal K Ghotra, Agt",5340092100.0,3404,S,27TH,ST,13.0,6.0,ALQML,Class A Malt & Class A Liquor License,,,5340092100,"Milwaukee, WI",42.9829236122449,-87.9481227346939
91,12/11/2019,11/28/2018,"MEGA MARTS, LLC",PICK 'N SAVE #6845,"DEBRA L HANSING, Agt",5539991121.0,3701,S,27TH,ST,13.0,6.0,ALQML,Class A Malt & Class A Liquor License,,,5539991121,"Milwaukee, WI",42.979474,-87.948386
92,1/18/2020,12/19/2018,Vietnamese Noodles LLC,The King Crab Shack,"Thanh D Phan, Agt",5539994110.0,3881,S,27TH,ST,13.0,6.0,BBEER,Class B Fermented Malt Beverage Retailer's License,,,5539994110,"Milwaukee, WI",42.9745512929742,-87.9484395124574
93,1/18/2020,12/19/2018,Vietnamese Noodles LLC,The King Crab Shack,"Thanh D Phan, Agt",5539994110.0,3881,S,27TH,ST,13.0,6.0,CWINE,Class C Wine Retailer's License,,,5539994110,"Milwaukee, WI",42.9745512929742,-87.9484395124574
94,7/5/2020,7/9/2019,"SIDHIVINAYAK, LLC",RODEWAY INN & SUITES,"Arpit K Patel, Agt",5980481110.0,4400,S,27TH,ST,13.0,6.0,BTAVN,Class B Tavern License,,,5980481110,"Milwaukee, WI",42.963518,-87.948538
95,7/8/2020,7/15/2019,"SIDHIVINAYAK, LLC",QUALITY SUITES,"Arpit K Patel, Agt",5980483100.0,4488,S,27TH,ST,13.0,6.0,BTAVN,Class B Tavern License,,,5980483100,"Milwaukee, WI",42.9632459195713,-87.9485417658191
96,7/30/2020,7/9/2019,ALBA CORPORATION,BENNY'S CAFE,"ZANI ZEQIRI, Agt",1940509000.0,5354,S,27TH,ST,13.0,6.0,BTAVN,Class B Tavern License,238.0,,6449950110,"Milwaukee, WI",42.9474366453071,-87.9488759589602
97,5/8/2020,4/18/2019,"NICKY K'S, LLC",NICKY K'S,"NICHOL L KRUEGER, Agt",6449898100.0,5444,S,27TH,ST,13.0,6.0,BTAVN,Class B Tavern License,63.0,,6449898100,"Milwaukee, WI",42.945866375641,-87.948914499872
98,2/26/2020,2/5/2019,"LTT, INC",ANTICIPATION,"VICTOR T JOERNDT, Agt",6909880100.0,6218,S,27TH,ST,13.0,6.0,BTAVN,Class B Tavern License,80.0,,6909880100,"Milwaukee, WI",42.9321723595394,-87.9492337463085
