EXP_DATE,EFF_DATE,CORP_NAME,TRADE_NAME,LICENSEE,TAXKEY_NUMBER,HOUSE_NR,SDIR,STREET,STTYPE,ALDERMANIC_DISTRICT,POLICE_DISTRICT,LIC_TYPE,License Type Full Name,TOT_CAP,ROOM_CAP,TAXKEY
4/6/2020,3/26/2019,"B & S FOOD MARKET, INC",B & S FOOD MARKET,"MILOUD A ELWERFALLI, Agt",,3299,N,12TH,ST,6,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2830463000
5/12/2020,5/13/2019,"Wisconsin Liquor & Food, Inc",ABC Beer & Liquor Depot II,"NAVDIP KAUR, Agt",3520777100,1819,N,12th,ST,15,3,ALQML,Class A Malt & Class A Liquor License,,,3520777100
4/29/2020,4/16/2019,North Side Meat Mart LLC,North Side Meat Mart,"Faiz N Mavrkis, Agt",3123322000,3004,N,12th,ST,6,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3123322000
9/24/2020,9/25/2019,MARQUETTE UNIVERSITY,Marquette University/Eckstein/Haggerty Art Museum,"Neal J Wucherer, Agt",3980011111,530,N,13TH,ST,4,3,BTAVN,Class B Tavern License,,,3980011111
7/5/2020,6/20/2019,EL ESCONDITE,EL ESCONDITE,"SONIA M FANTAUZZI, SP",3510517000,1832,S,13TH,ST,12,2,BTAVN,Class B Tavern License,80,,4610636100
9/21/2020,9/10/2019,"SHORTY'S CATERING, INC",SHORTY'S CATERING & RESTAURANT,"ELISA MALDONADO, Agt",,2075,S,13TH,ST,12,2,BTAVN,Class B Tavern License,156,"Restaurant = 49, Hall = 107",4600159000
11/28/2020,11/15/2019,GP Food Market LLC,Los Amigos,"KARAMVIR K DHALIWAL, Agt",4680201000,2100,S,13TH,ST,12,2,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4680201000
11/28/2019,11/5/2018,GP Food Market LLC,Los Amigos,"KARAMVIR K DHALIWAL, Agt",4680201000,2100,S,13TH,ST,12,2,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4680201000
4/20/2020,4/23/2019,"El Sunami II, LLC",Sunami,"Ociel Escobar Luvianos, Agt",4681712000,2222,S,13TH,ST,12,2,BTAVN,Class B Tavern License,49,,4681712000
6/13/2020,5/29/2019,Channa Sales Inc,Arthur Mini Mart,"Baljeet S Channa, Agt",4970768000,2500,S,13TH,ST,12,2,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4970768000
6/14/2020,5/29/2019,"BOB-E-LANES, INC",BOB-E-LANES,"JAMES R RYDZEWSKI, Agt",,2932,S,13TH,ST,14,6,BTAVN,Class B Tavern License,51,,5071028000
4/15/2020,7/30/2019,Karina's Pizza LLC,Karina's Pizza,"Gabriela Zapot Mendoza, Agt",5071025000,2952,S,13TH,ST,14,6,BTAVN,Class B Tavern License,28,,5071025000
6/9/2020,5/29/2019,MONTE ENTERPRISES LLC,MONTERREY MARKET,"ROBERTO MONTEMAYOR, Agt",,3014,S,13TH,ST,14,6,ALQML,Class A Malt & Class A Liquor License,,,5071232000
6/23/2020,5/29/2019,"JOBIN, INC",B & B TAP,"PATRICIA L WESTPHAL, Agt",,3021,S,13TH,ST,14,6,BTAVN,Class B Tavern License,49,,5080105110
9/20/2020,8/26/2019,BUCKSHOTS BAR LLC,BUCKSHOTS BAR,"DAVID NUNEZ-CRUZ, Agt",2841108000,3219,S,13TH,ST,14,6,BTAVN,Class B Tavern License,25,,5350892100
7/13/2020,6/18/2019,El Tucanazo Taqueria Y Mariscos Corp,El Tucanazo Taqueria Y Mariscos,"FRANCISCO J GONZALEZ, Agt",5350886000,3261,S,13TH,ST,14,6,BTAVN,Class B Tavern License,65,,5350886000
11/6/2020,10/15/2019,LAYTON HEIGHTS PUB & GRILL,LAYTON HEIGHTS PUB & GRILL,"BRYON J PUZIA, SP",5970652000,4553,S,13TH,ST,13,6,BTAVN,Class B Tavern License,94,,5970652000
3/20/2020,2/28/2019,Hank's Tavern,Hank's Tavern,"GILBERT L KACZMAREK, Agt",6429988110,5216,S,13TH,ST,13,6,BTAVN,Class B Tavern License,25,,6429988110
3/1/2020,2/5/2019,"CORNE'S COACH'S, LLC",COACH'S PUB & GRILL,"CORNE M HANSSEN, Agt",6429976110,5356,S,13TH,ST,13,6,BTAVN,Class B Tavern License,63,,6429976110
6/30/2020,7/9/2019,MILW LODGE 49 LOYAL ORDER OF MOOSE,MILW LODGE 49 LOYAL ORDER OF MOOSE,"MICHAEL K PETRI, Agt",6420781000,5476,S,13TH,ST,13,6,BTAVN,Class B Tavern License,600,,6420781000
9/3/2020,8/5/2019,"AMANA HOSPITALITY, LLC",Crowne Plaza Milwaukee Airport,"Mathew W Meadows, Agt",7169997100,6401,S,13TH,ST,13,6,BTAVN,Class B Tavern License,2480,,7160441000
12/14/2019,11/27/2018,La Borincana Restaurant Inc,La Borincana Restaurant,"Santa I Fret, Agt",4610639000,1820,S,13th,ST,12,2,BTAVN,Class B Tavern License,49,,4610639000
2/29/2020,2/26/2019,El Pacifico Nightclub LLC,El Pacifico Nightclub,"JUAN P SALAS, Agt",4680453000,2000,S,13th,ST,12,2,BTAVN,Class B Tavern License,160,,4680453000
1/16/2020,12/18/2018,"Mi Super Foods, & Liquor Inc",Mi Super Foods & Liquor,"Gurinder S Nagra, Agt",4681711000,2200,S,13th,ST,12,2,ALQML,Class A Malt & Class A Liquor License,,,4681711000
7/23/2020,9/24/2019,Taqueria La Sierrita LLC,Taqueria La Sierrita,"Miguel Leon Santos, Agt",4961416100,2689,S,13th,ST,12,2,BTAVN,Class B Tavern License,64,,4961416100
11/1/2020,10/15/2019,Singh's Corner Grocery Inc,South Star Food,"BALJINDER SINGH, Agt",5071361000,2714,S,13th,ST,14,2,AMALT,Class A Fermented Malt Beverage Retailer's License,,,5071361000
6/30/2020,6/18/2019,Nick's Anvil Inn,Nick's Anvil Inn,"Nancy J Tribbey, SP",5071035000,2900,S,13th,ST,14,6,BTAVN,Class B Tavern License,25,,5071035000
10/15/2020,9/24/2019,"IGG, LLC",Mi Tierra Food Mart,"Parminder S Ghotra, Agt",5080401100,2901,S,13th,ST,14,6,AMALT,Class A Fermented Malt Beverage Retailer's License,,,5080401100
3/1/2020,2/5/2019,"Gurmehar, LLC",Best Foods,"Kanwal B Singh, Agt",5359974000,3405,S,13th,ST,14,6,AMALT,Class A Fermented Malt Beverage Retailer's License,,,5359974000
5/29/2020,5/15/2019,Emerald City Enterprises LLC,Emerald City Catering and Events,"Steve T Ozbolt, Agt",5519948000,3555,S,13th,ST,13,6,BTAVN,Class B Tavern License,,,5519948000
6/3/2020,5/29/2019,13th Pour LLC,13th Pour,"ERIC B SCHNEEBERG, Agt",5519840000,3675,S,13th,ST,13,6,BTAVN,Class B Tavern License,89,,5519840000
3/29/2020,11/7/2019,AGP MKE 6331 Milwaukee LLC,Radisson Hotel Milwaukee Airport,"John C Totin, Agt",7169999110,6331,S,13th,ST,13,6,BTAVN,Class B Tavern License,,,7169999110
10/17/2020,10/29/2019,MALLETT'S FOODS,MALLETT'S FOODS,"JOE F MALLETT, SP",2842014000,3501,N,14TH,ST,6,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2842014000
6/11/2020,5/29/2019,"Bungalow Restaurant, LLC",Henry and Bobbie's Bungalow,"Demetrius T Jones, Agt",2842168000,3466,N,14th,ST,6,5,BTAVN,Class B Tavern License,,,2842168000
12/17/2019,11/27/2018,JJ STRIPES,JJ STRIPES,"JAMES J DORANGRICHIA, SR, SP",5350601000,3101,S,15TH,PL,13,6,BTAVN,Class B Tavern License,55,,5350601000
12/16/2019,3/28/2019,"SHANAA GROCERY, INC",MR F FOODS,"BASSEL S HAMZA, Agt",2840747000,3246,N,15TH,ST,6,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2840747000
12/13/2019,12/14/2018,TOSADO LLC,Don Pedro's,"JASMYN M TOSADO, Agt",4690679000,1979,S,15TH,ST,12,2,BTAVN,Class B Tavern License,,,4690679000
2/7/2020,1/14/2019,"CAMPUS ENTERTAINMENT, INC",CAFFREY'S PUB,"MICHAEL J VITUCCI, Agt",,717,N,16TH,ST,4,3,BTAVN,Class B Tavern License,295,80,3632700100
6/18/2020,6/4/2019,MARQUETTE UNIVERSITY,MARQUETTE / UNION SPORTS ANNEX,"Neal J Wucherer, Agt",,804,N,16TH,ST,4,3,BTAVN,Class B Tavern License,700,,3901190000
12/20/2019,11/27/2018,GARY J'S PUB,GARY J'S PUB,"GARY M JASICKI, SP",5350901110,3303,S,16TH,ST,13,6,BTAVN,Class B Tavern License,25,,5350901110
5/23/2020,10/15/2019,"Magic Holdings, LLC",Magic Foods,"Balkar Singh, Agt",3112059000,2879,N,16th,ST,15,5,ALQML,Class A Malt & Class A Liquor License,,,3112059000
8/1/2020,7/9/2019,Sendik's MU LLC,Sendik's Food Markets,"Theodore Balistreri, Agt",3901190000,824,N,16th,ST,4,3,ALQML,Class A Malt & Class A Liquor License,,,3901190000
5/15/2020,4/16/2019,ROMANS FOODS,ROMANS FOODS,"NEDAL K ASSAD, SP",3241586000,2441,S,18TH,ST,12,2,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4960334000
6/30/2020,6/18/2019,Colbert's Beer & Liquor,Colbert's Beer & Liquor,"WILLIE G COLBERT, SP",2320009000,4770,N,18th,ST,1,7,ALQML,Class A Malt & Class A Liquor License,,,2320009000
5/31/2020,5/7/2019,El Taco Riendo LLC,The Laughing Taco,"Lucia L Munoz, Agt",4311321000,1031,S,1ST,ST,12,2,BTAVN,Class B Tavern License,,,4311321000
10/23/2020,10/18/2019,Don's Deli LLC,Don's Diner,"Aaron R Gersonde, Agt",4310261000,1100,S,1ST,ST,12,2,BTAVN,Class B Tavern License,,,4310261000
7/18/2020,7/9/2019,Fiesta 1407 LLC,Fiesta Cafe,"Rosa Isela Real Perez, Agt",4620331100,1407,S,1ST,ST,12,2,BTAVN,Class B Tavern License,99,,4620331100
6/5/2020,5/29/2019,"MC ZAR'S, LLC",O'Lydia's Bar & Grill,"Linda M Sackett, Agt",,338,S,1ST,ST,12,1,BTAVN,Class B Tavern License,150,,4280504000
1/16/2020,12/21/2018,"COMPROV, INC",COMEDY SPORTZ,"JOSHUA M LEFEVRE, Agt",4280581000,420,S,1ST,ST,12,2,BTAVN,Class B Tavern License,320,,4280581100
10/22/2020,10/22/2019,THE TRIPLE BELT CORPORATION,D.I.X.,"ELIZABETH J KUJAWA, Agt",,739,S,1ST,ST,12,2,BTAVN,Class B Tavern License,180,,4311119000
3/19/2020,4/10/2019,"LE CABARET, INC",Texas J's,"JOHN A URBAN, Agt",,813,S,1ST,ST,12,2,BTAVN,Class B Tavern License,360,,4310605110
8/7/2020,8/6/2019,Werk Investments LLC,Points View Boite,"Marcos A Ramos-Garcia, Agt",4620035000,1619,S,1st,ST,12,2,BTAVN,Class B Tavern License,,,4620035000
3/31/2020,3/26/2019,SBB of Milwaukee Inc.,Stack'D Burger Bar,"TREVOR M DANIELSEN, Agt",4280973000,170,S,1st,ST,12,1,BTAVN,Class B Tavern License,,,4280973000
2/9/2020,1/14/2019,Bhatia Corp,Fine Vineyard,"VARINDER P BHATIA, Agt",4281011000,601,S,1st,ST,12,2,ALQML,Class A Malt & Class A Liquor License,,,4281011000
9/23/2020,8/27/2019,The Flow DJ's Entertainment LLC,VIP Lounge,"Miguel A Martinez, Agt",4310991110,828,S,1st,ST,12,2,BTAVN,Class B Tavern License,295,,4310991110
12/13/2019,12/14/2018,Champion Property MGMT LLC,Freight 38,"ADAM L SMITH, Agt",4310993000,838,S,1st,ST,12,2,BTAVN,Class B Tavern License,80,,4311311000
6/30/2020,6/18/2019,"FRITZ'S PUB, INC",FRITZ'S PUB,"STEPHEN J DJURIC, Agt",5089979000,3086,S,20TH,ST,13,6,BTAVN,Class B Tavern License,130,,5089979000
11/29/2019,11/30/2018,Rose's Place,Rose's Place,"PATRICIA A PICKENS, SP",3111780000,2878,N,20th,ST,15,5,BTAVN,Class B Tavern License,80,,3111780000
9/13/2020,9/4/2019,"Wisconsin Hispanic Scholarship Foundation, Inc.",Mexican Fiesta,"Ruben A Burgos, Agt",5090022000,2997,S,20th,ST,13,6,BTAVN,Class B Tavern License,420,,5090022000
10/14/2020,10/16/2019,"J B Beer & Liquor, Inc",Wilson Park Beverage Mart,"BALJIT SINGH, Agt",5529953100,3511,S,20th,ST,13,6,ALQML,Class A Malt & Class A Liquor License,,,5529953100
1/17/2020,12/18/2018,"PJS SUPERMARKET, LLC",PJS SUPERMARKET,"INDERJIT KAUR, Agt",3100823000,3079,N,21ST,ST,7,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3100823000
7/13/2020,7/9/2019,Lucky Sam Food Mart Inc,Lucky Sam Food Mart,"Sukhdev Singh, Agt",3250492100,2401,N,21st,ST,15,3,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3250492100
5/19/2020,5/20/2019,"R K A, LLC",ABC STORE,"RAEID K ASSAD, Agt",,1143,S,22ND,ST,8,2,ALQML,Class A Malt & Class A Liquor License,,,4340290000
4/11/2020,6/10/2019,"FAITH GROCERIES, INC",FAITH GROCERIES,"HARJINDER KHASRIA, Agt",,3451,N,23RD,ST,6,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2851322000
1/21/2020,1/15/2019,"TEDDY'S INCOME, INC",SHARI'S STILL,"SHERYL L LARSON, Agt",,1834,S,23RD,ST,8,2,BTAVN,Class B Tavern License,49,,4590578000
7/30/2020,7/9/2019,"Locust Enterprises, LLC",SaveMore Foods,"YUSSEF K IZHIMAN, Agt",3101386110,2900,N,24th,ST,7,,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3101386110
12/18/2019,10/22/2018,"NEA, LLC",TIME FOOD MART,"NEDAL K ASSAD, Agt",3503942000,1835,S,25TH,ST,8,2,ALQML,Class A Malt & Class A Liquor License,,,4590751000
5/6/2020,5/7/2019,"Farida, LLC",South Ave Foods,"Thaher M Qatoum, Agt",4702039000,2108,S,25TH,ST,8,2,AMALT,Class A Fermented Malt Beverage Retailer's License,,,4702039000
11/3/2020,10/15/2019,ANGEL FOOD MARKET,ANGEL FOOD MARKET,"CHIDI P ONUKWUGHA, Agt",2700241000,3700,N,26TH,ST,7,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2700241000
9/26/2020,9/4/2019,"COMMUNITY FOODS, INC",COMMUNITY FOODS,"AMER K SARSOUR, Agt",3101807000,2800,N,27TH,ST,15,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3101807000
7/30/2020,7/9/2019,"GOLDEN NORTHTOWN FOODS, INC",GOLDEN NORTHTOWN FOOD,"NIRMAL SINGH, Agt",2310097000,4402,N,27TH,ST,1,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,2310097000
1/18/2020,1/18/2019,HENRY'S LOUNGE,HENRY'S LOUNGE,"HENRY L WINCE, SP",,4411,N,27TH,ST,1,5,BTAVN,Class B Tavern License,80,,2300670000
6/30/2020,6/18/2019,GARE-BEAR'S,GARE-BEAR'S,"GARY L LIESKE, SP",,927,N,27TH,ST,4,3,BTAVN,Class B Tavern License,70,,3881203000
3/20/2020,3/5/2019,"CHIPOTLE MEXICAN GRILL OF CO, LLC",CHIPOTLE MEXICAN GRILL #441,"Brian J Bushaw, Agt",5340645111,3232,S,27TH,ST,13,6,BTAVN,Class B Tavern License,97,,5340645111
6/19/2020,5/7/2019,"DUAL FOOD SYSTEMS, INC",NED'S PIZZA SOUTH,"SCOTT O STOLZ, Agt",5340650000,3246,S,27TH,ST,13,6,CWINE,Class C Wine Retailer's License,40,,5340650000
6/19/2020,5/7/2019,"DUAL FOOD SYSTEMS, INC",NED'S PIZZA SOUTH,"SCOTT O STOLZ, Agt",5340650000,3246,S,27TH,ST,13,6,BBEER,Class B Fermented Malt Beverage Retailer's License,40,,5340650000
1/19/2020,12/20/2018,"GURU BEER & LIQUOR, LLC",GURU BEER & LIQUOR,"Iqbal K Ghotra, Agt",5340092100,3404,S,27TH,ST,13,6,ALQML,Class A Malt & Class A Liquor License,,,5340092100
12/11/2019,11/28/2018,"MEGA MARTS, LLC",PICK 'N SAVE #6845,"DEBRA L HANSING, Agt",5539991121,3701,S,27TH,ST,13,6,ALQML,Class A Malt & Class A Liquor License,,,5539991121
1/18/2020,12/19/2018,Vietnamese Noodles LLC,The King Crab Shack,"Thanh D Phan, Agt",5539994110,3881,S,27TH,ST,13,6,BBEER,Class B Fermented Malt Beverage Retailer's License,,,5539994110
1/18/2020,12/19/2018,Vietnamese Noodles LLC,The King Crab Shack,"Thanh D Phan, Agt",5539994110,3881,S,27TH,ST,13,6,CWINE,Class C Wine Retailer's License,,,5539994110
7/5/2020,7/9/2019,"SIDHIVINAYAK, LLC",RODEWAY INN & SUITES,"Arpit K Patel, Agt",5980481110,4400,S,27TH,ST,13,6,BTAVN,Class B Tavern License,,NA,5980481110
7/8/2020,7/15/2019,"SIDHIVINAYAK, LLC",QUALITY SUITES,"Arpit K Patel, Agt",5980483100,4488,S,27TH,ST,13,6,BTAVN,Class B Tavern License,,NA,5980483100
7/30/2020,7/9/2019,ALBA CORPORATION,BENNY'S CAFE,"ZANI ZEQIRI, Agt",1940509000,5354,S,27TH,ST,13,6,BTAVN,Class B Tavern License,238,,6449950110
5/8/2020,4/18/2019,"NICKY K'S, LLC",NICKY K'S,"NICHOL L KRUEGER, Agt",6449898100,5444,S,27TH,ST,13,6,BTAVN,Class B Tavern License,63,,6449898100
2/26/2020,2/5/2019,"LTT, INC",ANTICIPATION,"VICTOR T JOERNDT, Agt",6909880100,6218,S,27TH,ST,13,6,BTAVN,Class B Tavern License,80,,6909880100
2/25/2020,2/21/2019,Sunny and Son Investments LLC,Value Food and Liquor,"GURINDER SINGH, Agt",2850804000,3160,N,27th,ST,7,5,ALQML,Class A Malt & Class A Liquor License,,,2850804000
5/20/2020,5/9/2019,M N Supermarket Inc,Kilbourn Supermarket,"DAVINDER SINGH, Agt",3881204000,901,N,27th,ST,4,3,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3881204000
5/8/2020,4/17/2019,JSJK Inc,Royal India Bar & Grill,"Paramjit Kaur, Agt",5340092100,3400,S,27th,ST,13,6,BTAVN,Class B Tavern License,,,5340092100
1/17/2020,12/18/2018,"GK&D Enterprises, Inc",Omega Family Restaurant,"Debbie Koutromanos, Agt",5331104000,3473,S,27th,ST,11,6,BTAVN,Class B Tavern License,250,,5331104000
3/21/2020,3/22/2019,"Blazin Wings, Inc",Buffalo Wild Wings #415,"Matthew F Horgan, Agt",5521602000,3636,S,27th,ST,13,6,BTAVN,Class B Tavern License,,,5521602000
11/5/2020,10/25/2019,"JB's on 41, Inc",JB's on 41,"DAVID L BARDON, Agt",5779992100,4040,S,27th,ST,13,6,BTAVN,Class B Tavern License,576,,5779992100
5/28/2020,6/5/2019,Pho Cali Restaurant,Pho Cali Restaurant,"Anhvu T Nguyen, SP",6231002000,4756,S,27th,ST,13,6,BBEER,Class B Fermented Malt Beverage Retailer's License,,,6231002000
6/19/2020,5/29/2019,"Japnoor, Inc.",Indian Bazaar,"CHARANJEET SINGH, Agt",6441721100,5254,S,27th,ST,13,6,AMALT,Class A Fermented Malt Beverage Retailer's License,,,6441721100
3/7/2020,2/28/2019,"Yogeshwar, LLC",Discount Cigarette & Beer,"Narendra M Patel, Agt",6441622100,5320,S,27th,ST,13,6,ALQML,Class A Malt & Class A Liquor License,,,6441622100
7/26/2020,7/15/2019,Walgreen Co,Walgreens #2911,"Daniel E Speich, Agt",6900941100,6292,S,27th,ST,13,6,ALQML,Class A Malt & Class A Liquor License,,,6900941100
2/8/2020,1/14/2019,Lama LLC,One Stop Mart,"BELAL N ATARI, Agt",3091108100,2709,N,28th,ST,15,5,AMALT,Class A Fermented Malt Beverage Retailer's License,,,3091108100
3/28/2020,2/27/2019,OUR LADY QUEEN OF PEACE CONGREGATION,OUR LADY QUEEN OF PEACE CONGREGATION,"ANN DARGIS, Agt",,3222,S,29TH,ST,11,6,BBEER,Class B Fermented Malt Beverage Retailer's License,,,5331122000
12/20/2019,11/27/2018,GLASS SLIPPER,GLASS SLIPPER,"JIMMY D JORDAN, SP",2820383100,3250,N,2ND,ST,6,5,BTAVN,Class B Tavern License,80,,2820383100
2/20/2020,2/21/2019,"Crab It Your Way, LLC",Crab It Your Way,"Devonzell Hollingsworth, Agt",3610622000,823,N,2ND,ST,4,1,BTAVN,Class B Tavern License,,,3610622000
11/28/2020,11/6/2019,"MJ DePalma,LLC",The Dark Horse,"MONICA J DE PALMA, Agt",4620402000,1517,S,2ND,ST,12,2,BTAVN,Class B Tavern License,80,,4620402000
11/28/2020,11/6/2019,"MJ DePalma,LLC",The Dark Horse,"MONICA J DE PALMA, Agt",4620402000,1517,S,2ND,ST,12,2,BTAVN,Class B Tavern License,80,,4620402000
10/13/2020,9/27/2019,"MULTIVERSE, INC",WOODY'S,"Alan F Kettering, Agt",4621185000,1579,S,2ND,ST,12,2,BTAVN,Class B Tavern License,99,,4621185000
6/30/2020,6/19/2019,"THE SALOON, LTD",JUST ART'S SALOON,"ARTHUR R GUENTHER, Agt",4280219000,181,S,2ND,ST,12,1,BTAVN,Class B Tavern License,70,,4280219000
4/17/2020,4/18/2019,Rec Room Craft Co LLC,Rec Room Craft Co,"Krista A Bach, Agt",4280286000,219,S,2ND,ST,12,1,BTAVN,Class B Tavern License,,,4280286000
2/7/2020,1/14/2019,"STRAIGHT AHEAD, INC",CAROLINE'S,"CAROL R RUBITSKY, Agt",4280341000,401,S,2ND,ST,12,2,BTAVN,Class B Tavern License,136,,4280341000
2/13/2020,2/5/2019,"ZAD'S, INC",ZAD'S,"TERRY M ZADRA, Agt",,436,S,2ND,ST,12,2,BTAVN,Class B Tavern License,160,,4280338000
8/18/2020,8/19/2019,Movida LLC,Movida,"Aaron R Gersonde, Agt",4280419000,524,S,2ND,ST,12,2,BTAVN,Class B Tavern License,49,,4280419000
5/8/2020,4/16/2019,KARAMPELAS INVESTMENTS INC,GYRO PALACE,"NICK A KARAMPELAS, Agt",4281011000,602,S,2ND,ST,12,2,BBEER,Class B Fermented Malt Beverage Retailer's License,75,,4281011000
3/3/2020,2/28/2019,Central Standard LLC,Central Standard Craft Distillery,"William P McQuillian, Agt",4281071000,613,S,2ND,ST,12,2,BBEER,Class B Fermented Malt Beverage Retailer's License,,,4281071000
12/25/2019,12/21/2018,"700 CLUB, LLC",SABBATIC,"JAY K STAMATES, Agt",4311171000,700,S,2ND,ST,12,2,BTAVN,Class B Tavern License,80,,4311171000
4/16/2020,4/15/2019,"THE V BAR, LLC",The Tin Widow,"SAMUEL L BERMAN, Agt",4310701000,703,S,2ND,ST,12,2,BTAVN,Class B Tavern License,49,,4310701000
3/1/2020,2/5/2019,"CIELITO LINDO, LLC",CIELITO LINDO,"RODRIGO R LOPEZ, Agt",,733,S,2ND,ST,12,2,BTAVN,Class B Tavern License,198,,4310708100
11/12/2020,11/5/2019,"STENY'S, INC",STENY'S,"JEROME L STENSTRUP, Agt",4310616000,800,S,2ND,ST,12,2,BTAVN,Class B Tavern License,160,,4310616000
6/28/2020,5/29/2019,"LOLA'S, LLC",Walker's Pint,"ELIZABETH A BOENNING, Agt",4310612000,818,S,2ND,ST,12,2,BTAVN,Class B Tavern License,150,93 inside. 57 out with 1 portable restroom,4310612000
5/12/2020,5/7/2019,"FLUID, INC",FLUID,"WILLIAM M WARDLOW, Agt",,819,S,2ND,ST,12,2,BTAVN,Class B Tavern License,106,,4311003000
5/12/2020,4/16/2019,CRAZY WATER,CRAZY WATER,"PEGGY J MAGISTER, SP",4311016000,839,S,2ND,ST,12,2,BTAVN,Class B Tavern License,62,,4311016000
3/10/2020,3/11/2019,Carters Mini Mart,Carters Mini Mart,"Lathea D Brooks, Agt",3610622000,823,N,2nd,ST,4,1,ALQML,Class A Malt & Class A Liquor License,,,3610622000
11/26/2019,12/6/2018,"Braise Restaurant, LLC",Braise Restaurant,"David K Swanson, Agt",4310221100,1101,S,2nd,ST,12,2,BTAVN,Class B Tavern License,202,,4310221100
7/25/2020,7/9/2019,Aramark Corporation,Rockwell Automation/Cafe,"Heidi M Petrakis, Agt",4310281113,1201,S,2nd,ST,12,2,BTAVN,Class B Tavern License,,NA,4310281113
12/17/2019,12/21/2018,Full of Beans LLC,Full of Beans Cafe,"JoAnn R Hausknecht, Agt",4280240100,184,S,2nd,ST,12,1,BBEER,Class B Fermented Malt Beverage Retailer's License,,,4280240100
12/17/2019,12/21/2018,Full of Beans LLC,Full of Beans Cafe,"JoAnn R Hausknecht, Agt",4280240100,184,S,2nd,ST,12,1,CWINE,Class C Wine Retailer's License,,,4280240100
